substance_name,approval_countries
Acetylcysteine,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, YUG, ZAF, ZMB"
Thymopentin,"BLR, CHN, ITA, PAK, RUS, UKR"
Opuntia spp.,DEU
Bambusa tuldoides,"AUS, USA"
Suramin sodium,
Protirelin tartrate,"ARG, ITA, JPN, KOR, PAK"
Phenibut,"BLR, EST, KGZ, LTU, LVA, RUS, UKR, USA, ZAF"
Pothos chinensis,
Polygala senega,"ARE, ARG, AUS, AUT, BRA, CAN, CHE, CHL, CHN, DEU, ECU, EGY, EST, FRA, HKG, IND, JPN, KOR, KWT, LBN, LTU, LUX, LVA, PAK, PRI, SWE, THA, TUN, TWN, UKR, USA, VEN"
Zuretinol,
Fritillaria thunbergii,"IND, JPN, SGP"
Dihydrostreptomycin,"BRA, FRA, SWE, TUN, YUG"
Testosterone cipionate,"ARG, BRA, BWA, CAN, DEU, DNK, FIN, HKG, JPN, KOR, MEX, NZL, PER, PRI, SGP, THA, TWN, USA, ZAF"
Citrus aurantium fruit,"AUS, CAN, CHN, KOR, LBN, LTU, MYS, NZL, USA"
Sonidegib phosphate,"AUS, CHE, DEU, ESP, FRA, PRI, USA"
Daphne mezereum fruit,
Panulisib,
Alisertib,
Scutellaria lateriflora leaf,"NZL, USA"
Parameria laevigata,
Agathosma betulina herb,USA
Protease nos,"ARE, ARG, AUS, AUT, BEL, BLR, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, JOR, JPN, KOR, LBN, LTU, LVA, MAR, MYS, NLD, NOR, NZL, PER, POL, PRI, PRT, ROM, RUS, SGP, SVK, SVN, SWE, THA, TWN, UKR, USA, ZAF, ZMB"
Fluoroestradiol F18,
Carboprost trometamol,"ARE, BEL, BGR, CAN, CHN, CZE, ETH, FRA, GBR, HKG, HRV, HUN, IND, MYS, NLD, NOR, NZL, PHL, POL, PRI, SAU, SGP, SVK, SVN, SWE, THA, TWN, UGA, USA"
Pexelizumab,
Scutellaria rehderiana,JPN
Levisticum officinale root,"AUT, CHE, DEU, ESP, EST, GBR, LTU, LVA, POL, RUS, UKR"
Parietaria spp.,DEU
Oxabolone cipionate,"ITA, JPN"
Paeonia lactiflora sun dried root,CHN
Simmondsia chinensis seed oil,"ARE, DEU, EGY, FRA, KWT, LVA, THA"
Dendrobium nobile,"AUS, USA"
Glucosamine hydroiodide,"ARG, COL, DEU, ESP, HKG, ITA, MYS, PAK"
VGX 3100,
Oldenlandia corymbosa,
Cuscuta europaea whole plant,
Deflazacort,"ARE, ARG, BFA, BGD, BRA, CHE, CHL, CIV, COD, COL, DEU, DOM, ECU, EGY, ESP, GBR, GRC, IND, IRL, ITA, KOR, LBN, LTU, LUX, LVA, MAR, MEX, NOR, NZL, PER, POL, PRI, PRT, SVN, SWE, TUR, URY, USA, VEN"
Disporopsis fuscopicta,
Terizidone,"BGR, BWA, CZE, DEU, EST, IND, KOR, LTU, LVA, MEX, PER, POL, RUS, TWN, UKR, ZAF"
Castanea mollissima,
